,question_x,retrieved_question,one_to_one_match_answer,answer_x
137,what is the percent change in net revenue between 2007 and 2008?,what is the percent change in net revenue between 2007 and 2008?,2.4%,0.7%
357,what is the percent change in net revenue between 2007 and 2008?,what is the percent change in net revenue between 2007 and 2008?,2.4%,0.3%
359,what is the percent change in net revenue from 2016 to 2017?,what is the percent change in net revenue from 2016 to 2017?,2.25%,4.97%
467,what is the percent change in net revenue from 2003 to 2004?,what is the percent change in net revenue from 2003 to 2004?,14.7%,3.58%
614,what is the percentage change in interest expense from 2015 to 2016?,what is the percentage change in interest expense from 2015 to 2016?,80.8%,6.5%
616,what is the percent change in net revenue between 2007 and 2008?,what is the percent change in net revenue between 2007 and 2008?,2.4%,-34.3%
674,what is the growth rate in net revenue from 2009 to 2010?,what is the growth rate in net revenue from 2009 to 2010?,11.4%,12.3%
679,what is the growth rate in net revenue in 2016?,what is the growth rate in net revenue in 2016?,6.0%,-7.4%
737,what is the percent change in net revenue between 2006 and 2007?,what is the percent change in net revenue between 2006 and 2007?,3.3%,5.2%
816,what percentage of eurosport viewing subscribers reached were due to eurosport 2 network?,what percentage of eurosport viewing subscribers reached were due to eurosport 2 network?,64%,31%
821,what was the percent of the increase in the revenue from 2010 to 2011,what was the percent of the increase in the revenue from 2010 to 2011,6.1%,113%
870,what is the growth rate in net revenues in 2017?,what is the growth rate in net revenues in 2017?,4.8%,6.3%
881,what is the percent change in net revenue from 2003 to 2004?,what is the percent change in net revenue from 2003 to 2004?,14.7%,2.08%
974,what percentage of total minimum lease payments are capital leases?,what percentage of total minimum lease payments are capital leases?,29%,32%
1064,what percentage of total minimum lease payments are operating leases?,what percentage of total minimum lease payments are operating leases?,76%,71%
1164,what is the percent change in receivables from or ( payables to ) the money pool from 2001 to 2002?,what is the percent change in receivables from or ( payables to ) the money pool from 2001 to 2002?,395%,456%
1174,"what was the percentage cumulative total shareholder return on disca for the five year period ended december 21 , 2013?","what was the percentage cumulative total shareholder return on disca for the five year period ended december 21 , 2013?",502.08%,538.56%
1285,how many square feet are leased by the company?,how many square feet are leased by the company?,664000,222000
1326,what portion of the equity compensation plan approved by security holders is to be issued upon the exercise of the outstanding options warrants and rights?,what portion of the equity compensation plan approved by security holders is to be issued upon the exercise of the outstanding options warrants and rights?,9.1%,51.5%
1424,what percentage of total minimum lease payments are operating leases?,what percentage of total minimum lease payments are operating leases?,76%,66%
1449,what was the percentage change in free cash flow from 2007 to 2008?,what was the percentage change in free cash flow from 2007 to 2008?,70%,69%
1457,what percentage of total minimum lease payments are capital leases?,what percentage of total minimum lease payments are capital leases?,29%,34%
1486,what percentage of total minimum lease payments are capital leases?,what percentage of total minimum lease payments are capital leases?,29%,24%
1633,what is the growth rate in net revenue from 2010 to 2011?,what is the growth rate in net revenue from 2010 to 2011?,-9.5%,-15.1%
1870,what portion of the equity compensation plan approved by security holders remains available for future issuance?,what portion of the equity compensation plan approved by security holders remains available for future issuance?,48.5%,90.9%
1997,what was the percent of the increase in the operating income from 2010 to 2011,what was the percent of the increase in the operating income from 2010 to 2011,10.1%,91.5%
2205,what value of cad is equal to $ 1 usd?,what value of cad is equal to $ 1 usd?,1.22,1.26
2258,what is the percent change in net revenue between 2007 and 2008?,what is the percent change in net revenue between 2007 and 2008?,2.4%,0.7%
2362,what is the growth rate in net revenue in 2016?,what is the growth rate in net revenue in 2016?,6.0%,-7.4%
2522,"what was the percentage cumulative total shareholder return on disca for the five year period ended december 21 , 2013?","what was the percentage cumulative total shareholder return on disca for the five year period ended december 21 , 2013?",502.08%,538.56%
2724,what is the average weighted average useful life ( years ) for purchased technology and customer contracts and relationships?,what is the average weighted average useful life ( years ) for purchased technology and customer contracts and relationships?,7.5,8
3374,what is the percent change in net revenue between 2007 and 2008?,what is the percent change in net revenue between 2007 and 2008?,2.4%,0.3%
3473,what portion of the equity compensation plan approved by security holders is to be issued upon the exercise of the outstanding options warrants and rights?,what portion of the equity compensation plan approved by security holders is to be issued upon the exercise of the outstanding options warrants and rights?,9.1%,51.5%
3519,what is the difference between the statutory tax rate and the effective tax rate for international operations in 2018?,what is the difference between the statutory tax rate and the effective tax rate for international operations in 2018?,-7.3,17.2%
3537,what is the net income margin for 2015?,what is the net income margin for 2015?,18.9%,7.8%
3775,what is the highest return for the first year of the investment?,what is the highest return for the first year of the investment?,40%,62%
3936,what is the growth rate in net revenue from 2009 to 2010?,what is the growth rate in net revenue from 2009 to 2010?,11.4%,12.3%
